Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base,-0.345788930637997,-0.153460943930369,-0.0148574304076997,0,0,0,34.1059688345868,2.15746797612818,0.00470920534979304,-1.71459033522724E-06,0.759382756881473,0.00265969830513678,2.53264735973746,0,0,0,0,0,0,package://drive/meshes/base.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://drive/meshes/base.STL,,arm hexagon support-1;bottom plate-1;left side plate-1;battery plate-1;battery and electronics plate supporter-1;battery and electronics plate supporter-2;back support plate-1;arm plate back support plate-1;differential plate supporter-1;differential plate supporter-2;differential plate supporter-3;differential plate supporter-4;electronics plate new-1;arm plate 1 new-1;differential plate-1;right side plate-1;front support plates-1;back support plate-3;suspension rod assembly left-1;suspension rod assembly right-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
right_front,-0.12375,-0.053132,0.0225,0,0,0,0.26897,0.001013,-0.0017699,2.1696E-09,0.0042352,1.083E-09,0.0051616,0,0,0,0,0,0,package://drive/meshes/right_front.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://drive/meshes/right_front.STL,,rocker front-5,Origin_right_front,Axis_right_front,joint_right_front,revolute,-0.070337,-0.15542,-0.062427,-1.5708,0.12123,1.5708,base,0,0,1,0,0,0,0,,,,,,,,
right_bogie,-4.0066E-06,-0.13053,0.016329,0,0,0,0.59393,0.0020082,2.9932E-07,-1.3098E-08,0.0053136,3.3927E-09,0.0045241,0,0,0,0,0,0,package://drive/meshes/right_bogie.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://drive/meshes/right_bogie.STL,,bogie-5,Origin_right_bogie,Axis_right_bogie,joint_right_bogie,revolute,-0.31109,-0.16078,0,-3.1416,0,3.0204,right_front,0,0,1,0,0,0,0,,,,,,,,
wheel_1,-0.08218,0.0011573,0.007099,0,0,0,32.802,0.60349,-0.0034113,-0.020925,0.36113,0.00029621,0.3629,0,0,0,0,0,0,package://drive/meshes/wheel_1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://drive/meshes/wheel_1.STL,,wheel-7,Origin_wheel_1,Axis_wheel_1,joint_wheel_1,revolute,0.225,-0.18509,0,0.16161,1.4835,0.35684,right_bogie,0.99619,-0.014024,-0.08602,0,0,0,0,,,,,,,,
wheel_2,-0.08218,0.0011573,0.007099,0,0,0,32.802,0.60349,-0.0034113,-0.020925,0.36113,0.00029621,0.3629,0,0,0,0,0,0,package://drive/meshes/wheel_2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://drive/meshes/wheel_2.STL,,wheel-6,Origin_wheel_2,Axis_wheel_2,joint_wheel_2,revolute,-0.225,-0.18509,0,0.16161,1.4835,0.42392,right_bogie,0.99619,-0.014024,-0.08602,0,0,0,0,,,,,,,,
right_back,0.30742,-0.20016,0.070431,0,0,0,0.46295,0.0037369,0.0028292,2.8411E-09,0.0040089,-4.7273E-09,0.0063232,0,0,0,0,0,0,package://drive/meshes/right_back.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://drive/meshes/right_back.STL,,rocker 2-1,Origin_right_back,Axis_right_back,joint_right_back,revolute,0,-0.10542,-0.012427,-1.5708,0.12123,1.5708,base,0,0,1,0,0,0,0,,,,,,,,
wheel_3,-0.0096197,0.00013586,0.00083348,0,0,0,32.802,0.60349,-0.0034113,-0.020925,0.36113,0.0002962,0.3629,0,0,0,0,0,0,package://drive/meshes/wheel_3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://drive/meshes/wheel_3.STL,,wheel-5,Origin_wheel_3,Axis_wheel_3,joint_wheel_3,revolute,0.45337,-0.39,0,-2.98,-1.4835,2.1495,right_back,0.99619,-0.014024,-0.08602,0,0,0,0,,,,,,,,
left_front,-0.12375,-0.053132,0.0225,0,0,0,0.26897,0.001013,-0.0017699,2.1696E-09,0.0042352,1.083E-09,0.0051616,0,0,0,0,0,0,package://drive/meshes/left_front.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://drive/meshes/left_front.STL,,rocker front-4,Origin_left_front,Axis_left_front,joint_left_front,revolute,-0.56534,-0.15578,-0.062427,-1.5708,0.12123,1.5708,base,0,0,1,0,0,0,0,,,,,,,,
left_bogie,-4.009E-06,-0.13053,0.061329,0,0,0,0.59393,0.0020082,2.9938E-07,-1.3098E-08,0.0053136,3.3927E-09,0.0045241,0,0,0,0,0,0,package://drive/meshes/left_bogie.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://drive/meshes/left_bogie.STL,,bogie-3,Origin_left_bogie,Axis_left_bogie,joint_left_bogie,revolute,-0.31109,-0.16078,0,0,0,-0.12123,left_front,0,0,1,0,0,0,0,,,,,,,,
wheel_4,-0.1102,0.0015518,0.0095182,0,0,0,32.802,0.60349,-0.0034113,-0.020925,0.36113,0.0002962,0.3629,0,0,0,0,0,0,package://drive/meshes/wheel_4.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://drive/meshes/wheel_4.STL,,wheel-2,Origin_wheel_4,Axis_wheel_4,joint_wheel_4,revolute,-0.225,-0.18509,0.016876,0.16161,1.4835,-0.33202,left_bogie,0.99619,-0.014024,-0.08602,0,0,0,0,,,,,,,,
